Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c_shared/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter  28000 |loss   0.04 |n_ep  5765 |ep_len   48.8 |ep_rew   0.39 |raw_ep_rew   7.72 |env_step 224000 |time 16:15 rem 564:13
iter  28500 |loss   0.03 |n_ep  5846 |ep_len   47.7 |ep_rew   0.29 |raw_ep_rew   7.28 |env_step 228000 |time 16:33 rem 564:29
iter  29000 |loss   0.20 |n_ep  5921 |ep_len   43.7 |ep_rew   0.32 |raw_ep_rew   7.67 |env_step 232000 |time 16:50 rem 564:03
iter  29500 |loss  -0.01 |n_ep  5993 |ep_len   50.4 |ep_rew   0.43 |raw_ep_rew   6.76 |env_step 236000 |time 17:07 rem 563:23
iter  30000 |loss  -0.03 |n_ep  6069 |ep_len   48.8 |ep_rew   0.45 |raw_ep_rew   6.99 |env_step 240000 |time 17:23 rem 562:30
iter  30500 |loss   0.05 |n_ep  6149 |ep_len   49.2 |ep_rew   0.43 |raw_ep_rew   6.52 |env_step 244000 |time 17:40 rem 561:42
iter  31000 |loss   0.16 |n_ep  6227 |ep_len   47.7 |ep_rew   0.48 |raw_ep_rew   6.22 |env_step 248000 |time 17:56 rem 560:50
iter  31500 |loss   0.00 |n_ep  6307 |ep_len   49.7 |ep_rew   0.51 |raw_ep_rew   7.83 |env_step 252000 |time 18:13 rem 560:12
iter  32000 |loss   0.00 |n_ep  6389 |ep_len   47.2 |ep_rew   0.42 |raw_ep_rew   6.92 |env_step 256000 |time 18:29 rem 559:23
iter  32500 |loss  -0.02 |n_ep  6468 |ep_len   44.9 |ep_rew   0.35 |raw_ep_rew   6.35 |env_step 260000 |time 18:46 rem 558:57
iter  33000 |loss   0.03 |n_ep  6552 |ep_len   45.6 |ep_rew   0.41 |raw_ep_rew   7.03 |env_step 264000 |time 19:03 rem 558:20
iter  33500 |loss   0.04 |n_ep  6631 |ep_len   51.7 |ep_rew   0.64 |raw_ep_rew   8.11 |env_step 268000 |time 19:19 rem 557:30
iter  34000 |loss  -0.01 |n_ep  6711 |ep_len   46.6 |ep_rew   0.40 |raw_ep_rew   7.35 |env_step 272000 |time 19:35 rem 556:44
iter  34500 |loss  -0.03 |n_ep  6791 |ep_len   52.6 |ep_rew   0.57 |raw_ep_rew   6.20 |env_step 276000 |time 19:53 rem 556:28
iter  35000 |loss  -0.09 |n_ep  6874 |ep_len   48.4 |ep_rew   0.41 |raw_ep_rew   7.67 |env_step 280000 |time 20:09 rem 555:59
iter  35500 |loss  -0.06 |n_ep  6952 |ep_len   51.1 |ep_rew   0.47 |raw_ep_rew   7.31 |env_step 284000 |time 20:26 rem 555:31
iter  36000 |loss  -0.04 |n_ep  7034 |ep_len   47.6 |ep_rew   0.44 |raw_ep_rew   7.51 |env_step 288000 |time 20:43 rem 554:51
iter  36500 |loss  -0.06 |n_ep  7114 |ep_len   51.3 |ep_rew   0.52 |raw_ep_rew   8.11 |env_step 292000 |time 21:00 rem 554:21
iter  37000 |loss  -0.04 |n_ep  7196 |ep_len   53.0 |ep_rew   0.55 |raw_ep_rew   7.54 |env_step 296000 |time 21:16 rem 553:48
iter  37500 |loss  -0.03 |n_ep  7279 |ep_len   50.7 |ep_rew   0.51 |raw_ep_rew   6.85 |env_step 300000 |time 21:33 rem 553:16
iter  38000 |loss  -0.01 |n_ep  7360 |ep_len   48.9 |ep_rew   0.52 |raw_ep_rew   7.62 |env_step 304000 |time 21:50 rem 553:05
iter  38500 |loss   0.06 |n_ep  7440 |ep_len   45.8 |ep_rew   0.44 |raw_ep_rew   8.41 |env_step 308000 |time 22:07 rem 552:24
iter  39000 |loss   0.01 |n_ep  7517 |ep_len   49.8 |ep_rew   0.47 |raw_ep_rew   6.87 |env_step 312000 |time 22:23 rem 551:44
iter  39500 |loss  -0.07 |n_ep  7594 |ep_len   50.4 |ep_rew   0.45 |raw_ep_rew   7.79 |env_step 316000 |time 22:39 rem 551:10
iter  40000 |loss   0.10 |n_ep  7667 |ep_len   47.3 |ep_rew   0.38 |raw_ep_rew   7.31 |env_step 320000 |time 22:56 rem 550:41
iter  40500 |loss   0.05 |n_ep  7749 |ep_len   49.8 |ep_rew   0.50 |raw_ep_rew   6.54 |env_step 324000 |time 23:13 rem 550:03
iter  41000 |loss   0.10 |n_ep  7824 |ep_len   47.0 |ep_rew   0.36 |raw_ep_rew   7.72 |env_step 328000 |time 23:29 rem 549:36
iter  41500 |loss  -0.02 |n_ep  7905 |ep_len   45.4 |ep_rew   0.29 |raw_ep_rew   6.78 |env_step 332000 |time 23:46 rem 548:57
iter  42000 |loss  -0.04 |n_ep  7985 |ep_len   49.4 |ep_rew   0.37 |raw_ep_rew   5.90 |env_step 336000 |time 24:03 rem 548:34
iter  42500 |loss  -0.01 |n_ep  8058 |ep_len   64.2 |ep_rew   0.82 |raw_ep_rew   7.32 |env_step 340000 |time 24:20 rem 548:16
iter  43000 |loss   0.16 |n_ep  8131 |ep_len   50.5 |ep_rew   0.45 |raw_ep_rew   7.06 |env_step 344000 |time 24:36 rem 547:42
iter  43500 |loss  -0.02 |n_ep  8212 |ep_len   55.1 |ep_rew   0.55 |raw_ep_rew   4.88 |env_step 348000 |time 24:53 rem 547:16
iter  44000 |loss  -0.00 |n_ep  8290 |ep_len   48.8 |ep_rew   0.47 |raw_ep_rew   5.92 |env_step 352000 |time 25:10 rem 547:05
iter  44500 |loss  -0.04 |n_ep  8369 |ep_len   56.1 |ep_rew   0.70 |raw_ep_rew   7.88 |env_step 356000 |time 25:28 rem 546:57
iter  45000 |loss  -0.05 |n_ep  8444 |ep_len   50.2 |ep_rew   0.46 |raw_ep_rew   7.23 |env_step 360000 |time 25:46 rem 546:54
iter  45500 |loss   0.02 |n_ep  8523 |ep_len   50.3 |ep_rew   0.52 |raw_ep_rew   6.43 |env_step 364000 |time 26:03 rem 546:43
