Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0001, niter=2000000, nproc=2, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_pen/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep    28 |ep_len   31.3 |ep_rew  -0.22 |raw_ep_rew   1.76 |env_step   1000 |time 00:04 rem 281:49
iter  10000 |loss   0.01 |n_ep   626 |ep_len   27.5 |ep_rew  -0.27 |raw_ep_rew   0.99 |env_step  20000 |time 01:33 rem 311:15
iter  10500 |loss   0.01 |n_ep   659 |ep_len   27.4 |ep_rew  -0.30 |raw_ep_rew   1.06 |env_step  21000 |time 01:38 rem 312:17
iter  11000 |loss   0.00 |n_ep   691 |ep_len   29.1 |ep_rew  -0.23 |raw_ep_rew   1.01 |env_step  22000 |time 01:44 rem 313:27
iter  11500 |loss   0.00 |n_ep   720 |ep_len   36.6 |ep_rew  -0.02 |raw_ep_rew   1.17 |env_step  23000 |time 01:49 rem 314:21
iter  12000 |loss   0.02 |n_ep   752 |ep_len   26.3 |ep_rew  -0.33 |raw_ep_rew   0.78 |env_step  24000 |time 01:54 rem 315:06
iter  12500 |loss   0.00 |n_ep   781 |ep_len   39.0 |ep_rew   0.03 |raw_ep_rew   1.37 |env_step  25000 |time 01:59 rem 315:48
iter  13000 |loss   0.02 |n_ep   814 |ep_len   29.5 |ep_rew  -0.20 |raw_ep_rew   1.13 |env_step  26000 |time 02:04 rem 316:07
iter  13500 |loss   0.00 |n_ep   844 |ep_len   29.7 |ep_rew  -0.23 |raw_ep_rew   1.38 |env_step  27000 |time 02:08 rem 316:19
iter  14000 |loss   0.00 |n_ep   874 |ep_len   28.7 |ep_rew  -0.29 |raw_ep_rew   1.21 |env_step  28000 |time 02:13 rem 316:42
iter  14500 |loss   0.02 |n_ep   905 |ep_len   34.4 |ep_rew  -0.15 |raw_ep_rew   1.21 |env_step  29000 |time 02:18 rem 316:49
iter  15000 |loss   0.00 |n_ep   943 |ep_len   27.2 |ep_rew  -0.29 |raw_ep_rew   0.83 |env_step  30000 |time 02:23 rem 317:15
iter  15500 |loss   0.00 |n_ep   981 |ep_len   24.7 |ep_rew  -0.40 |raw_ep_rew   0.56 |env_step  31000 |time 02:28 rem 317:54
iter  16000 |loss   0.02 |n_ep  1015 |ep_len   30.0 |ep_rew  -0.25 |raw_ep_rew   0.63 |env_step  32000 |time 02:34 rem 318:31
